Day,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
527,119.86539655747588,89.41997286614199,50.19956225762454,42.7965384222954,59.80697966610282,71.43844240452955,97.08019427596615,155.71433277855817,123.477263470857,113.35511745895636,122.55511998656456,138.66091706533282,155.47964375202648,127.32332212631596,138.2500613358601,176.77943329282385,161.94234511732546,241.44892005361223,250.6164567347089,267.5532886479833,294.7081703483984,229.18166093919416,185.99478378415373,140.95867453297856
528,79.23398398764938,56.31062363292172,39.95171671077627,30.783627907066418,29.896588524330276,48.698692423213366,67.16036072673751,104.38221123960444,77.7773864630181,71.95561518623914,81.32981404213325,89.4033240781651,101.90143278070485,94.76042433160623,111.79394031457392,122.70412039514352,111.34895055667297,150.46171767664617,156.33623983341406,164.06814235222762,189.30480238269155,148.4054859994698,124.1010386421155,79.34919712831457
529,70.1115344052836,50.64103346125724,36.91920432371231,32.48200869238437,41.1764835515426,53.14435876606559,68.05604960739642,89.02056813128283,63.93355598527641,63.69094213589669,78.81487148713872,92.52794879602651,101.28838552611509,91.243374938569,98.80331910093705,112.53039690219495,104.28815584896725,151.64050861029796,157.86662517501486,163.40263424706782,175.43282143180107,142.87215309444827,120.71838109637835,80.74357660939349
530,42.709940515561954,32.20876348310799,20.777962242140863,23.274435208094815,27.85996957086065,25.350477298083444,38.43912216180911,52.51297495138667,34.79123274741971,33.20537846162645,42.27819586699825,50.7183848188714,56.881693697779085,48.64615305970844,53.629590663329594,65.68389184388566,60.28250175937204,82.43958301934244,88.89979451667364,93.51010641611906,105.96080323741839,79.16866285403765,63.43083175142356,46.079194323544776
531,52.455705196013966,40.47267980391526,31.315050693936485,29.088677809299497,30.853136332375158,35.14500040364591,49.82805727240573,69.108960019163,54.764298378064716,43.29425141360956,52.295697931493386,54.350032397358135,62.19085386401762,54.84861496090781,61.16766708113386,71.69395799758425,59.82411339079917,101.0516528837546,113.43102981871819,121.75888396179518,133.42914558884536,108.38114344199619,83.80413381497604,59.24328050825769
532,85.80341064577061,72.7490501845132,52.66784567387488,48.01842081549179,50.96667373972401,60.753808788581814,84.22848271774598,115.27424183480805,87.130457158194,73.23078417573187,85.97594856558784,95.72088662540659,96.41141906794054,86.17098773650781,106.18300994707171,133.3750745048001,113.33897451816372,171.8525394925797,176.52210937370702,194.4960928657673,223.96169884341978,176.9973468294678,149.9678084995413,103.2955238312483
533,104.96281203498165,85.57624534561485,55.22163874376925,48.60181125208412,62.39050107854487,70.05886885295513,97.99345690136454,129.45812076094904,105.7472388067504,92.90760454215028,104.36487819877892,104.49430061527302,123.01417155483348,106.94848705811413,119.60828979905467,145.9982260559512,141.95708602353503,202.20302454198014,210.2810720697033,227.39419494455402,260.8676545416459,208.29707593190926,159.0563566849287,87.07049301842282
534,95.31513442008439,80.7901446008597,53.80152552683158,44.23828364851627,46.03589825971563,50.33270623928937,74.84254774297855,114.02644177273652,76.804495656313,73.88350679436945,85.55955715306574,100.97958496886214,124.12682770106032,117.78925049122057,123.73389460662817,147.83636676865694,135.5505395807661,188.50792712612127,202.21985156815907,215.10054280395505,240.88613043331614,195.6371757543177,166.87905090226246,109.37874496378457
535,82.75541488955318,65.59449548600823,46.38111007784052,28.517831747210273,38.706676296062476,46.052440258309645,65.64306611601833,98.87130975175235,73.42131988513314,71.35887651744885,80.2952651484105,89.88847121918099,95.51944845153501,88.77235373429923,101.72189918465973,124.90508048572808,111.85938202954154,159.82501454540733,183.85853956718483,188.65462927786513,196.65788754631694,157.4293359709986,116.51064319019439,91.27635762883801
536,69.8072717326097,51.4117168028699,34.28490799471145,24.98019152671935,36.54337785717493,45.73425105597164,59.03131392806898,93.4349899677222,68.33535705009332,58.9521053991361,69.77647097163688,77.2582633458887,77.83489587436605,69.81017325347318,77.38979393387429,99.0835118346705,96.84664598969223,139.58887356318309,146.09406575126965,150.54351309098894,161.40610088376883,129.3474922125788,97.29984608912821,67.8229299196547
537,54.49667259908995,42.60541289633474,33.01324370175867,21.855002106892094,26.448955483361864,36.38872918639658,50.652259849034394,73.61589976540243,50.29337514588567,49.196407504017955,57.93373932077775,63.035313557660324,74.15511142155674,65.31918265210642,60.96265655559868,78.95597430757995,66.74833813503407,99.10251695411236,108.97856341914353,123.02576515584315,130.96211944044197,104.20043287796376,88.861531675144,54.963007982716455
538,57.40020325740665,39.03500195653215,19.568227132535373,15.850562020177556,24.488363422866378,33.921789358667745,51.17903623059269,71.55154874283818,58.78784389845135,56.99149833090092,57.72091921893037,63.28626302389539,68.89251648852725,55.57198055220536,70.67915898157507,82.26078536048021,79.31334446944035,111.11621293487227,121.17485005139238,124.89957440388382,142.3180352025427,114.11484819002207,94.3089557545707,67.2860034605325
539,78.127600131754,55.667215797334116,33.303634765909436,35.990821723103004,49.940290601379864,56.41780746939559,78.11289702255387,99.55583322839134,75.06451689250233,61.3489071601276,69.5950178555619,81.29265607055339,92.14175089939943,84.68313351594388,88.3561631317807,110.74881526054111,103.24254491249478,153.24288482092282,166.4494772016289,171.91368201950274,184.19636140878086,151.0099875792198,124.92982882574283,87.85015254763722
540,104.7368757962924,78.5136768437206,56.577042714921866,41.50082130727102,52.06694683875478,58.981255662650554,83.25744995884392,120.86926315341672,92.53891129380824,93.51973808850335,110.34056075004469,126.34905512740075,129.54383131287653,114.30856496894135,130.30109063448862,150.64269480649813,144.36341336852004,185.7167171452765,209.90207814513786,215.5235561095312,239.44362087756616,189.94739044726103,159.8053414676821,109.23667670364965
541,99.3973373810256,75.99526338553866,48.88176613347251,41.08724625477529,52.388455271622504,59.168303260057215,86.52134454674732,120.56503841251843,95.53933102141085,79.26322907074957,87.85487425486565,96.83508268511083,113.5361443359032,106.79211490418646,120.43658575758296,136.58032888753675,119.99304190870663,174.06060712130162,194.15676874982253,212.4826889959281,231.57629382634244,181.0413379594676,144.50917842668963,101.91475745477294
542,65.70581696775301,53.051481668195365,33.91643550410021,22.531608700791004,35.13728182835735,42.379514867101456,67.797735223322,97.44962271137334,78.0574721939136,61.51547805342162,75.97299101138321,79.38731003208403,90.02068961723583,89.85835152130034,96.72897738433214,124.03195840924053,121.79210829543646,169.12921933055077,177.22092817255518,174.84150885373447,195.02031541881388,160.40096722611966,144.2317832913129,95.6951344476652
543,82.22808965482837,59.76419971720726,39.2216773806467,34.810665663144334,43.60599857236044,46.218615656674665,59.58505881344958,99.11355067915095,82.84923549715106,65.65515888414157,75.60730602376233,87.89532764801233,96.92162072398239,88.0815353728818,99.5159732045683,124.09639678272207,110.87276568559336,173.692105371183,179.83719857909895,183.4424287824058,203.36647523479957,163.6158051148569,127.91979505744031,88.47298253942976
544,60.752213046718424,46.60749323822536,29.171765438522478,24.38698315859912,30.037597396033632,38.0406885715201,50.924807917869074,68.06863557715053,51.53206458020709,49.550626776521455,64.91749212207792,77.77500286093905,81.89238414823865,66.143318592254,66.4708970058991,75.17551654602295,81.04654607754692,116.65099377243068,124.8742720262131,129.6604432416146,139.9310068971393,117.42898780771556,95.08094502428816,65.71333121354012
545,56.02060795361492,45.98008969020341,30.586415210124855,22.211954128137123,33.67675648369774,43.12776356313149,51.58642852088947,73.47992082062963,52.18829890323236,56.39346926664988,62.92207621841999,60.109025782585654,67.23821981410113,63.80235358562689,70.6476420376655,84.14999021925244,75.43139446995039,117.22829134952443,118.50949969263165,132.58981142810924,145.36347007183207,119.45698644958954,97.82155601023514,66.57586303894102
546,90.526681459064,69.38594437259451,36.30502892093904,25.005125389174605,44.199499911989584,55.01399959518166,78.03593913130182,107.51666443250953,74.1986811428904,67.03657506968437,74.64336247637182,100.60465193635656,113.90385420859104,100.34685221672908,108.67408108674465,141.03630499708783,126.6329304753849,176.5332940287425,189.49402704897568,204.75646340924675,226.8114948664889,184.00353820427162,146.13839862548727,100.22831186928649
547,77.23606949770752,60.43022919761997,46.52502919189023,35.52993793997855,35.23578360071919,38.05199971876871,66.42651035158934,93.46688866317193,81.10892420832239,79.53604417375743,80.6725178103533,83.13257328199329,94.20510306480196,86.07666082865435,93.78543328043172,108.63931765683057,101.76764991385866,150.2531797345154,162.26976732965315,170.1406898703063,204.08949282628006,159.41558966951231,127.7173848688454,95.06747937071617
548,105.63611048385428,97.16856945962758,75.36211148650246,60.86762874426285,60.88803750804949,56.43902758658226,83.54030828587811,119.2549617337813,87.8541463899213,85.52894361465724,96.82279467952672,108.92085220342406,119.90819619967097,102.32903587196668,116.94916760232542,152.03853045050332,139.73202015461544,196.70783204589958,204.11394544400974,218.73338876007404,247.14649800281234,198.97762824975626,155.41164457292274,101.35647352292763
549,85.90062838934905,59.53597881590957,32.670095067419204,21.339561423179873,30.306785266122194,44.93355018123471,69.61378016666394,105.54049913081326,77.51497251892106,67.23443732195771,72.27991683812861,81.64254142540642,89.05919223940533,81.56225264555654,99.94569368375221,129.54891975973197,111.41347936202294,164.06058384823046,167.68258992437225,180.43591125174999,198.33052645227448,158.24866193683906,136.73562236384578,97.23183786771867
550,70.10903578286914,58.166769997507565,34.587459658712824,24.85911216620036,35.368561126905924,48.48218748017586,67.6725893181611,92.02419468403754,70.93518038939713,64.73910784228539,73.52706868442645,85.76747593559962,86.58027752202106,73.33777315473577,85.15955251718442,108.7335568403105,98.86449084700962,135.9924401020538,151.40784951054965,156.50123356583518,173.03985514244278,129.632933231129,107.38872204596494,77.74415291819881
551,54.76809107508345,44.30705106077107,26.101438481651744,16.53123387931892,26.3520500241018,38.95823331301252,48.5668172270334,69.04361742062011,47.204568194634064,48.27723502318387,51.70653056774697,60.55245854798947,68.2638763608186,58.32608317120099,69.33403873391872,76.56760485422744,75.55302140435211,105.75334567660403,121.76746291354355,129.70860804684943,143.3919385932179,110.7730947946325,91.47112205696314,61.07108503526042
552,63.418779564913976,50.313307790403336,29.439096180601187,24.901122866971427,28.258800622833064,38.239733854095476,57.26997269925526,84.34558052107924,65.57051499256904,63.22032276668442,69.7451203060482,74.51259231576006,81.87057157360636,79.4587954270374,87.15912143329558,105.65933568395964,95.12318123302705,140.87424987261554,145.92369243076666,153.8331169606436,164.1227045907811,134.55607161543068,112.62079803490036,81.56073854384451
553,86.19495531618959,58.88719565380113,36.00104174098985,22.522264754208727,40.093359067125235,54.090843935588744,76.07909399758884,108.1455016683013,81.20819267647015,73.68682392212747,81.38823266626149,89.4008529249902,97.99373290295719,95.41350795835035,107.54800181788526,132.82335312779276,133.2676564131956,182.10623533302768,188.36456602791884,195.28165240839937,210.52370791803986,175.39488503784895,145.97931453277997,104.8876038759725
554,98.92655027383027,65.97976646346845,38.91869300935936,33.925533859406684,52.10770566300903,61.716137364211605,89.10674333613944,123.48706081782889,87.01946406406603,76.55887976581508,93.04517824075015,106.78175056003768,109.67674949335417,101.01444377823547,108.90722430224642,124.05860141043334,119.1492213803237,183.8427697908281,188.14486520903108,203.78892652447698,223.11089846538943,184.22632539298476,152.3635213659352,112.10597933422756
555,114.55507097785582,83.03849580003029,67.40679300836413,53.05702044347963,63.37012505741586,73.96784508672904,92.23390707428483,143.30166068620488,108.95353155375776,98.42169750799518,104.8686271590525,123.08753132608857,131.59066680484952,118.43119065572296,125.07179862038446,158.58067099036057,147.83794346012675,222.05486470604896,243.00531756339538,247.808748862787,277.4160131952627,220.41995322998696,175.41044377858893,119.03072655460437
556,75.19263624932508,50.441627356777744,33.421144360721954,30.32343510947955,30.268315852767085,41.06865728506554,62.62389776473853,90.43855994341206,73.47017579608442,62.84942550315855,68.69183826048301,75.52974494255247,89.10163828297524,85.31223066645315,99.03918421606465,113.26080571870371,100.33790512446637,148.0465972203818,160.08505281988846,161.3986699100716,180.77026233986908,149.41593139465118,122.4709431786194,85.50514043057152
557,67.84927438994939,49.12671038209359,36.25827777745041,25.10911682240022,35.33548597538508,43.24379378565667,54.989466035255354,76.11536985771765,56.50531902380503,47.73861777217907,57.53486606982732,70.81862442757799,81.02630655180073,68.82196793630827,76.39894383951551,92.1949467515598,86.64956857664967,129.4707448341381,140.51659723745837,141.35569346402104,161.19836859799534,131.23074012386797,105.11402511987515,74.22631004139612
558,42.920137955107215,35.468596134700114,23.089803179199833,20.140497052699523,21.996047155069867,28.3146140177784,32.5610012112328,51.28013572766201,38.676565320889154,31.323641242242466,34.42344135239129,40.131401733846154,47.14354751702855,43.26607547436428,48.88413372281209,60.081510825454174,54.340868993289035,85.81760589667202,90.36119204921509,96.94337086717563,107.29250254710075,85.96293095035885,70.87251472418232,49.61020619601541
